Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender
Max Changmin,Shim Changmin,심창민,최강창민,18/02/1988,TVXQ,6/9/1995,MBK| Turbo Co.,South Korea,,,,Seoul,,,M
U-Know Yunho,Jung Yunho,정윤호,유노윤호,6/2/1986,TVXQ,6/9/1995,MBK| Turbo Co.,South Korea,,,,Gwangju,,,M
Donghae,Lee Donghae,이동해,동해,15/10/1986,Super Junior,6/11/2005,SM,South Korea,,176,60,Mokpo,Super Junior-M,,M
Eunhyuk,Lee Hyukjae,이혁재,은혁,4/4/1986,Super Junior,6/11/2005,SM,South Korea,,176,58,Ilsan,Super Junior-M,,M
Heechul,Kim Heechul,김희철,희철,10/7/1983,Super Junior,6/11/2005,SM,South Korea,,179,60,Hoengseong,,,M
Henry,Henry Lau,헨리 라우,헨리,11/10/1989,Super Junior-M,6/11/2005,SM,Canada,Hong Kong| Taiwan,176,63,Toronto,,,M
Kyuhyun,Cho Kyuhyun,조규현,규현,3/2/1988,Super Junior,6/11/2005,SM,South Korea,,180,68,Seoul,Super Junior-M,,M
Leeteuk,Park Jeongsu,박정수,이특,1/7/1983,Super Junior,6/11/2005,SM,South Korea,,179,59,Seoul,,,M
Ryeowook,Kim Ryeowook,김려욱,려욱,21/06/1987,Super Junior,6/11/2005,SM,South Korea,,175,58,Incheon,Super Junior-M,,M
Shindong,Shin Donghee,신동희,신동,28/09/1985,Super Junior,6/11/2005,SM,South Korea,,178,90,Mungyeong,,,M
Siwon,Choi Siwon,최시원,시원,7/4/1986,Super Junior,6/11/2005,SM,South Korea,,185,65,Seoul,Super Junior-M,,M
Sungmin,Lee Sungmin,이성민,성민,1/1/1986,Super Junior,6/11/2005,SM,South Korea,,175,57,Gyeonggi,Super Junior-M,,M
Yesung,Kim Jongwoon,김종운,예성,24/08/1984,Super Junior,6/11/2005,SM,South Korea,,178,64,Seoul,,,M
Zhou Mi,Zhou Mi,조미,조미,19/04/1986,Super Junior-M,6/11/2005,SM,China,,184,64,Wuhan,,,M
Gain,Son Gain,손가인,가인,20/09/1987,Brown Eyed Girls,2/3/2006,Mystic,South Korea,,,,,,,F
Jea,Kim Hyojin,김효진,제아,18/09/1981,Brown Eyed Girls,2/3/2006,Mystic,South Korea,,,,,,,F
Miryo,Jo Mihye,조미혜,미료,2/11/1981,Brown Eyed Girls,2/3/2006,Mystic,South Korea,,,,,,,F
Narsha,Park Hyojin,박효진,나르샤,28/12/1981,Brown Eyed Girls,2/3/2006,Mystic,South Korea,,,,,,,F
Honggi,Lee Honggi,이홍기,홍기,2/3/1990,FTISLAND,7/6/2007,FNC,South Korea,,,,Gwangju,,,M
Jaejin,Lee Jaejin,이재진,재진,17/12/1991,FTISLAND,7/6/2007,FNC,South Korea,,,,Cheongju,,,M
Jonghoon,Choi Jonghoon,최종훈,종훈,7/3/1990,FTISLAND,7/6/2007,FNC,South Korea,,,,Seoul,,,M
Minhwan,Choi Minhwan,최민환,민환,11/11/1992,FTISLAND,7/6/2007,FNC,South Korea,,,,Seoul,,,M
Seunghyun,Song Seungyun,송승현,승현,21/08/1992,FTISLAND,7/6/2007,FNC,South Korea,,,,Seoul,,,M
Haeri,Lee Haeri,이해리,해리,14/02/1985,Davichi,4/2/2008,CJ E&M,South Korea,,,,Seoul,,,F
Minkyung,Kang Minkyung,강민경,민경,3/8/1990,Davichi,4/2/2008,CJ E&M,South Korea,,,,Goyang,,,F
Chansung,Hwang Chansung,황찬성,찬성,11/2/1990,2PM,4/7/2008,JYP,South Korea,,184,75,Seoul,,,M
Jun. K,Kim Minjun,김민준,준케이,15/01/1988,2PM,4/7/2008,JYP,South Korea,,180,68,Daegu,,,M
Junho,Lee Junho,이준호,준호,25/01/1990,2PM,4/7/2008,JYP,South Korea,,178,67,Ilsan,,,M
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,24/06/1988,2PM,4/7/2008,JYP,Thailand,USA,180,64,California,,,M
Taecyeon,Ok Taecyeon,옥택연,택연,27/12/1988,2PM,4/7/2008,JYP,South Korea,,185,76,Busan,,,M
Wooyoung,Jang Wooyoung,장우영,우영,30/04/1989,2PM,4/7/2008,JYP,South Korea,,178,65,Busan,,,M
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,18/09/1992,f(x),5/9/2009,SM,USA,Taiwan,167,,Los Angeles,,,F
Krystal,Krystal Jung,크리스탈 정,크리스탈,24/10/1994,f(x),5/9/2009,SM,South Korea,,165,,San Francisco,,,F
Luna,Park Sunyoung,박선영,루나,12/8/1993,f(x),5/9/2009,SM,South Korea,,162,,Seoul,,,F
Victoria,Song Qian,송치엔,빅토리아,2/2/1987,f(x),5/9/2009,SM,China,,168,45,Qingdao,,,F
Bom,Park Bom,박봄,봄,24/03/1984,2NE1,6/5/2009,YG,South Korea,,,,,,,F
CL,Lee Chaerin,이채린,씨엘,26/02/1991,2NE1,6/5/2009,YG,South Korea,,,,,,,F
Dara,Park Sandara,박산다라,다라,12/11/1984,2NE1,6/5/2009,YG,South Korea,,,,,,,F
Minzy,Kong Minji,공민지,민지,18/01/1994,2NE1,6/5/2009,YG,South Korea,,,,,,,F
Hyunyoung,Cho Hyunyoung,조현영,현영,11/8/1991,Rainbow,12/11/2009,DSP,South Korea,,160,41,Seoul,Rainbow Blaxx| Rainbow Pixie,,F
Jaekyung,Kim Jaekyung,김재경,재경,24/12/1988,Rainbow,12/11/2009,DSP,South Korea,,168,45,Seoul,Rainbow Blaxx,,F
Jisook,Kim Jisook,김지숙,지숙,18/07/1990,Rainbow,12/11/2009,DSP,South Korea,,164,41,Suwon,Rainbow Pixie,,F
Noeul,No Eul,노을,노을,10/5/1989,Rainbow,12/11/2009,DSP,South Korea,,164,44,Jeonju,,,F
Seungah,Oh Seungah,오승아,승아,13/09/1988,Rainbow,12/11/2009,DSP,South Korea,,167,45,Seoul,Rainbow Blaxx| Rainbow Pixie,,F
Woori,Go Woori,고우리,우리,22/02/1988,Rainbow,12/11/2009,DSP,South Korea,,165,44,Jeonju,Rainbow Blaxx,,F
Yoonhye,Jung Yoonhye,정윤혜,윤혜,14/04/1990,Rainbow,12/11/2009,DSP,South Korea,,166,47,Daejeon,,,F
Fei,Wang FeiFei,왕페이페이,페이,27/04/1987,miss A,1/7/2010,JYP,China,,165,,Haikou,,,F
Jia,Meng Jia,멍지아,지아,3/2/1989,miss A,1/7/2010,JYP,China,,166,,Changja,,,F
Min,Lee Minyoung,이민영,민,21/06/1991,miss A,1/7/2010,JYP,South Korea,,161,,Seoul,,,F
Suzy,Bae Suji,배수지,수지,10/10/1994,miss A,1/7/2010,JYP,South Korea,,168,,Gwangju,,,F
Bora,Yoon Bora,윤보라,보라,30/12/1989,SISTAR,6/3/2010,Starship,South Korea,,,,,SISTAR19,,F
Dasom,Kim Dasom,김다솜,다솜,6/5/1993,SISTAR,6/3/2010,Starship,South Korea,,,,,,,F
Hyorin,Kim Hyojung,김효정,효린,11/12/1990,SISTAR,6/3/2010,Starship,South Korea,,,,,SISTAR19,,F
Soyou,Kang Jihyun,강지현,소유,12/2/1992,SISTAR,6/3/2010,Starship,South Korea,,,,,,,F
